"","unique(as.factor(cites_out$JOURNAL))"
"308","Annual Review Economics"
"309","Handbook Urban Regional Economics"
"310","Russia Virtual Economy"
"311","Center International Development"
"312","Journal Population Economics"
"313","Econophysics Systemic Risk Networks"
"314","Frontiers Economics China"
"315","Journal Economic Behaviour Organization"
"316","Edge Cities"
"317","Cities Evolution"
"318","Quark Jaguar"
"319","OECD"
"320","Voxeu"
"321","Review Development Economics"
"322","Urban research methods"
"323","Loi Repartition Economique"
"324","Inegalites economiques"
"325","Canadian Geographer"
"326","Sustainability"
"327","Constitution Society"
"328","Labour Market Dynamics"
"329","Evolucao Demografica Ocupacao Solo"
"330","Journal Economic Perspectives"
"331","Journal Economic Litterature"
"332","Regional Studies"
"333","Journal Monetary Economics"
"334","European Pysical Journal B"
"335","Problemy Sovremennoy Urbanizatsii"
"336","MPRA"
"337","Urban community"
"338","Megalopolis"
"339","Chislennost Naseleniya Rossiiskoi Federatsii"
"340","Perepis"
"341","Social Production Urban Space"
"342","Industrial Geography Israel"
"343","Physical Commercial Geography"
"344","Innovation Growth World Economy"
"345","Spatial Analysis Population Dynamics"
"346","Deux Siecles Croissance Urbaine"
"347","Journal Aerosol Science"
"348","Center Neighborhood Technology"
"349","Locational analysis Human Geography"
"350","Journal Royal  Statistical Society"
"351","Time Series Analysis"
"352","Spatial Analysis"
"353","Urban Economics"
"354","Applied Nonparametric Regression"
"355","Introduction Theory Numbers"
"356","Cities Soviet Union"
"357","Brownian Motion Stochastic Flows"
"358","Urban Experience"
"359","Immigration Internal Migration"
"360","Statistical distributions"
"361","Gamma Euler Constant"
"362","Human Ecology"
"363","Dynamique Urbaine Maroc"
"364","Indicateurs Sociaux Maroc"
"365","North Carolina"
"366","Environment Planning B"
"367","Post Soviet Geography Economy"
"368","Demokratizatsiya"
"369","Economic Theory Cities"
"370","Journal urban economics"
"371","Urban Development"
"372","Journal Economic Growth"
"373","Urbanization Growth"
"374","Bulleting Economique Social Maroc"
"375","Annals Statistics"
"376","Siberian Curse"
"377","Aerosol Technology"
"378","Tinbergen Institute"
"379","Strategy Economic Development"
"380","Statistical Abstract Israel"
"381","Introduction Mathematical Statistics"
"382","Making Urban Europe"
"383","Oxford History Medieval Europe"
"384","Minnesota"
"385","Eurasian Geography Economics"
"386","Economic Research Journal"
"387","Economic Cultural Change"
"388","Process World Systems"
"389","Migration Crisis Conflicts Balkans"
"390","Central place Theory"
"391","Journal Population Research NZ"
"392","Economie Prevision"
"393","Palgrave Online Dictionary"
"394","Journal Political Economics"
"395","Skew distributions"
"396","Journal Applied Statistics"
"397","Globalization Threats Opportunity"
"398",""
"399","Urbanisation France"
"400","Location Space Economy"
"401","Scientometrics"
"402","Economy Cities"
"403","Cities Wealth Nations"
"404","European Cities Competition"
"405","Geomatics"
"406","International Journal GIS"
"407","Geography"
"408","Multivariate Statistical Analysis Geography"
"409","Economic Geography"
"410","Economics Letters"
"411","Continuous Univariate Distribution"
"412","Theoy Practice Econometry"
"413","INSEE"
"414","Journal Economic Development"
"415","Theories Urban Externalities"
"416","Skew Frequency Curve"
"417","Brownian Motion Stochastic Calculus"
"418","SanDiego"
"419","East European Constitutional Review"
"420","Journal Japan International Economics"
"421","Journal Physical Society Japan"
"422","Journal Real Estate Finance"
"423","Finite Markov Chains"
"424","Acta Mathematica"
"425","Southern Economic Journal"
"426","Geography Immigration Absorption"
"427","Dynamics Urban Development"
"428","Elements Econometrics"
"429","Developing Economies"
"430","Harvard"
"431","Problems Economics"
"432","Zeitschrift Wahrscheinlichkeitstheorie"
"433","Journal Economic History"
"434","Communications Statistics Stochastic Models"
"435","Geography Trade"
"436","Development Geography Trade"
"437","Self Organizing Economy"
"438","Economy Evolving Complex Systems"
"439","Infrastructure Space Economy"
"440","Pattern Urbanisation Western Europe"
"441","Computers Physics"
"442","Revista Economia Aplicada"
"443","Complexity Perspective Innovation"
"444","Mir Rossii"
"445","Macroeconomia economia Global"
"446","Statistical models lifetime data"
"447","European Cities"
"448","Economie Statistiques"
"449","Metropolitee"
"450","Journal Economic Theory"
"451","International Journal Modern Physics"
"452","Gorbachev Phenomenon"
"453","Estimating Regression Models"
"454","Gross Berlin"
"455","Population Development Review"
"456","Glottometrics"
"457","China Economic Review"
"458","Asian Development Review"
"459","Waikato"
"460","Geojournal"
"461","Theoretical Biology"
"462","Journal Urban Planning Development"
"463","Cities"
"464","Essay trade Transformation"
"465","Measuring America"
"466","Professional Geographer"
"467","China Labour Market"
"468","Landscape Urban Planning"
"469","Funcoes Economicas Peauenos Centros"
"470","Desenvolvimento Regional"
"471","Journal Empirical Finance"
"472","Economics location"
"473","Elements Physical Biology"
"474","Gibrat Law Cities"
"475","Metrika"
"476","International Economic Review"
"477","Fractals Scaling Finance"
"478","Gazi Univertiesi"
"479","Principles Economics"
"480","Canadian geographer"
"481","The Diplomat"
"482","Revista Brasileira Estudos Populacionais"
"483","Revista Sao Paulo Perspectiva"
"484","Historia Populacao"
"485","International Institute Environment Development"
"486","Encontro Nacional Estudos Populacionais"
"487","evista Economia Politica"
"488","Capital"
"489","Revista Departamento Geografia"
"490","Urban Regional Economics"
"491","Econometrics"
"492","Metropolitan Community"
"493","Preparing China Urban Billion"
"494","The Independent"
"495","American Journal Economic Society"
"496","Kolichestvennyye Metody Issledovariya"
"497","Demography"
"498","Spatial Evolution Modeling"
"499","Transport Reviews"
"500","Studies Comparative International Development"
"501","International Review Modern Sociology"
"502","mimeo"
"503","Journal Asia Pacific Economy"
"504","Indian city size"
"505","Study Indian urban development"
"506","Internet Mathematics"
"507","Atlas Estadistico Areas Urbanas"
"508","ERSA Conference"
"509","Centre Environmental Studies Conference"
"510","Greater London Transportation Study"
"511","Revue Geographie Alpine"
"512","Coloquio Desarrollo Urbano"
"513","Economic Development Cultural change"
"514","Tecnicas Econometricas"
"515","Urbanisation Monde"
"516","Geopolis"
"517","Babylone Tokyo"
"518","Population Statistics"
"519","Cities Housing"
"520","Economic Theory"
"521","Theory Probability Applications"
"522","Ocherki Istorii Kryma"
"523","Journal International Development"
"524","CEFSA"
"525","FIPS"
"526","SA Journal Economic Management Science"
"527","Development Issues"
"528","Klerksdorp"
"529","Conference"
"530","Region New Economy"
"531","Growth Change"
"532","IRP"
"533","China Statistical Yearbook"
"534","Urban Statistical Yearbook"
"535","China Labour Statistical Yearbook"
"536","Local economic Devlopment"
"537","SSRN"
"538","Contemporary Physics"
"539","Journal American Statistical Society"
"540","statistics"
"541","Interfaces Advances Economic analysis"
"542","Gecon"
"543","UNR"
"544","UN Population Projections"
"545","Xin Zhong Guo"
"546","Redefining Urban"
"547","ENCE"
"548","ANPEC"
"549","Rise Decline Nations"
"550","Urbanization environment"
"551","Operational Theory Method"
"552","Nonparametric Econometrics"
"553","Cours Economie Politique"
"554","Times Spaces Places"
"555","Journal regional science"
"556","Escola Nacional Ciencias Estatisticas"
"557","Transaction Networking"
"558","Philosophical Magazine"
"559","Economie Sociale"
"560","Statistical Science"
"561","Journal Business Economic Statistics"
"562","Journal Applied Econometrics"
"563","Development Balkan Region"
"564","Limit Theorems Probability Theory"
"565","Public Economics"
"566","Journal Statistical Software"
"567","Mobile Century"
"568","Competitive Advantage Nations"
"569","Voprosy Geografii"
"570","Studies Economics Integration"
"571","Accelerated Shared Growth"
"572","Nouvelle Alliance"
"573","Dynamique Villes"
"574","Encyclopedie Geographie"
"575","GeoJournal"
"576","ECTGG"
"577","IGU"
"578","Geografiska Annaler B"
"579","Integrated Urban Systems"
"580","SFI"
"581","ABM Geographical Systems"
"582","Evolution Natural Structures"
"583","Eurban Networks Europe"
"584","thesis"
"585","Quantec"
"586","Fat Tailed Skewed Dsitributions"
"587","Linear Statistical Inference"
"588","Russia Northern Regions"
"589","Hebrew"
"590","Encyclopedia Statistical Science"
"591","Almanac"
"592","CEP"
"593","Economics Culture Controversial Science"
"594","European Physical Journal B"
"595","Studies Geography Israel"
"596","Approximate Distribution Order Statistics"
"597","Turtles Termites Traffic Jams"
"598","Law Retail Gravitation"
"599","Economics urban size"
"600","Urban Growth"
"601","Impactos TLCAUSA"
"602","Journal political Economy"
"603","Journal Money Credit Banking"
"604","Revista Centroamerica Economia Mundial"
"605","Urban Structure Growth"
"606","Stages Economic Growth"
"607","World Economy"
"608","Post Soviet Geography Economics"
"609","East Asian Urbanization"
"610","Estudios Economicos"
"611","Journal African economies"
"612","Cidade Portugal"
"613","Urbanizacao Brasileira"
"614","Global City"
"615","Vestnik Moskva"
"616","Revue Europeenne Geographie"
"617","Business Cycle"
"618","Deterministic Chaos"
"619","Atmospheric Chemistry Physics"
"620","CASA"
"621","Economic Times"
"622","Journal American Institute Planners"
"623","Journal Urban Economic"
"624","International regional science review"
"625","Management Science Models Techniques"
"626","Power Law Distributions"
"627","Density Estimation Statistics"
"628","biometrika"
"629","Models Man"
"630","Sciences Artificial"
"631","Scandinavian Journal Economics"
"632","Models Bounded Rationality"
"633","Logic methodology philosophy"
"634","American Economic review"
"635","Department Economics"
"636","courbe populations"
"637","City Late Imperial China"
"638","American mathematical society"
"639","Wealth Nations"
"640","Comparative Urban Research"
"641","Types City Size Distributions"
"642","Government Control Cultural Adaptation"
"643","Quarterly Journal economics"
"644","EAI"
"645","World Economy China"
"646","Journal Urban Affairs"
"647","Journal Physique"
"648","anuario estadistico"
"649","Statistisches Jahrbuch"
"650","New Suburbanisation"
"651","Econometrics Letters"
"652","Years Urban Development"
"653","Chianese Urban Statistical Yearbook"
"654","Random process growth firms"
"655","encyclopedia social science"
"656","Sociometry"
"657","Local Heroes"
"658","Keys City"
"659","Regional development dialogue"
"660","International Journal Agriculatural Science"
"661","Dispersing population"
"662","Technology Market Structure"
"663","statistik arsbok"
"664","Fractals"
"665","European Journal Operational Research"
"666","Economics Bulletin"
"667","Journal Urban Econometrics"
"668","Centre Etudes Developpement"
"669","Preface Urban Economics"
"670","Science Industry China"
"671","Theory Industrial Organization"
"672","Maroc Region Pays"
"673","Historia"
"674","Statistical Yearbook"
"675","Demographic yearbook"
"676","Demographic Yearbook"
"677","World population prospects"
"678","World Urbanization prospects"
"679","Population Estimates Cities"
"680","FIPS Populations"
"681","MSA Micropolitan"
"682","narodnoye hosiaistvo SSSR"
"683","GeoTextos"
"684","General Population Conference"
"685","Urbanization History"
"686","Micrations Crisis Conflicts Blakans"
"687","Probability Mathematical Statistics"
"688","Geographical analysis"
"689","Journal political economics"
"690","Isolated State"
"691","Urban Frontier"
"692","Mordern World System"
"693","Capitalist World Economy"
"694","City Comparative Perspective"
"695","ILO Labour Migration"
"696","Institute British Geographers"
"697","Sankhya Series A"
"698","Development Population industrial firms"
"699","Operations Research"
"700","Handbook Development Economics"
"701","Entropy Urban Regional Modelling"
"702","Probability"
"703","Geografiska Annaler"
"704","Introductory Econometrics"
"705","World Development Report"
"706","World Development Indicators"
"707","Manifest city"
"708","World Resources"
"709","Urbanisation Croissance Villes Chine"
"710","Comparative Economic Studies"
"711","Journal Geography China"
"712","Reviews Modern Physics"
"713","ICGIS conference"
"714","China population resources Environment"
"715","Spatial Inequality Development"
"716","Population Economics China"
"717","Cartography GIS"
"718","Philosophical Transactions B"
"719","Travel time Budgets"
"720","Advances Complex Systems"
"721","Arcts ERSA"
"722","Oxford Economic papers"
"723","New Paths Urbanization"
"724","Physchobiology Language"
"725","Unity disunity"
"726","Human Behavior Principle Least Effort"
"727",NA
