REFID,AUTHOR,YEAR,PAGE,JOURNAL,N_ESTIM,IN_HERE,IN_NITSCH,REGRESSIONFORM,SOURCE,ECO,SOC,PHYS,CROWDSOURCED,ADDED,ARXIV
Ezz15Rev,Ezzahid E. & ElHamdani O.,2015,131,Review of Urban & Regional Development Studies,36,1,0,PARETO,http://onlinelibrary.wiley.com/doi/10.1111/rurd.12036/abstract,0,1,0,0,Dec-15,1
Faz15Jou,Fazio G. & Modica M.,2015,741,Journal of Regional Science,11,1,0,PARETO,http://onlinelibrary.wiley.com/doi/10.1111/jors.12205/full,0,1,1,0,Jun-16,1
Gab99Qua,Gabaix X.,1999,740,Quarterly Journal of Economics,1,1,1,PARETO,http://www.jstor.org/stable/pdf/2586883.pdf,1,0,0,0,Dec-15,1
Gan06Eco,Gan L. et al,2006,,Economics Letters,4,1,0,PARETO,http://www.sciencedirect.com/science/article/pii/S0165176506000772,1,0,0,0,Dec-15,1
Gan13Eco,Gangopadhyay K. & Basu B.,2013,7,Econophysics of Systemic Risk and Network Dynamics,8,1,0,PARETO,http://link.springer.com/chapter/10.1007/978-88-470-2553-0_8,0,0,0,0,Jun-16,1
Gie10Jou,Giesen K. & Sudekum J.,2010,686,Journal of Economic Geography,8,1,0,PARETO,http://joeg.oxfordjournals.org/content/early/2010/05/28/jeg.lbq019.short,1,1,0,0,Dec-15,1
Gon10Jou,Gonzalez-Val R.,2010,961,Journal of Regional Science,110,1,0,PARETO,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-9787.2010.00685.x/epdf,0,1,1,0,Dec-15,1
Gue95Urb,Guerin-Pace F.,1995,557,Urban Studies,24,1,1,LOTKA,http://usj.sagepub.com/content/32/3/551.full.pdf,0,1,1,0,Dec-15,1
Gul12Age,Gulden T. R. & Hammond R. A.,2012,682,Agent-based models of geographical systems,4,1,0,LOTKA,,0,0,0,0,Dec-15,1
Hol10Nat,Holmes T. J. & Lee S.,2010,118,National Bureau of Economic Research,32,1,0,PARETO,http://papers.nber.org/books/glae08-1,1,0,0,0,Jun-16,1
Hon08Fro,Hongying G. & Kangping W.,2008,140,Frontiers of Economics in China,81,1,0,PARETO,http://link.springer.com/article/10.1007/s11459-008-0006-8,1,0,0,0,Jun-16,1
Ign15Dis,Ignazzi A.,2015,21,Cybergeo,11,1,0,LOTKA,http://cybergeo.revues.org/27349,0,0,0,0,Dec-15,1
Iye13Eur,Iyer S. D.,2013,355,Eurasian Geography and Economics,20,1,0,LOTKA,http://www.tandfonline.com/doi/abs/10.2747/1538-7216.44.5.348#.V1bfNdeYwSV,1,1,0,0,Jun-16,1
Kam90Jou,Kamecke U.,1990,228,Journal of Urban Economics,22,1,1,PARETO,http://ac.els-cdn.com/009411909090016G/1-s2.0-009411909090016G-main.pdf?_tid=05e5a542-4583-11e5-bcf7-00000aab0f01&acdnat=1439886654_6a7bf87b5a6df53c43160178c7c331fc,1,1,0,0,Dec-15,1
Knu01Ame,Knudsen T.,2001,127,American Journal of Economics and Sociology,1,1,1,PARETO,http://www.jstor.org/stable/pdf/3487947.pdf,1,1,0,0,Dec-15,1
Kra98Urb,Krakover S.,1998,2190,Urban Studies,12,1,1,LOTKA,http://usj.sagepub.com/content/35/12/2183.full.pdf,0,1,1,0,Dec-15,1
Kru96Jou,Krugman P.,1996,400,Journal of the Japanese and International Economies,1,1,1,PARETO,ftp://ftp-ccu.jrc.it/pub/maenhout/Urban/literature/krugman-JJapIntEcon1996.pdf,1,1,0,0,Dec-15,1
Kum14Jou,Kumar G. & Subbarayan A.,2014,227,Journal of Mathematics and Statistics ,36,1,0,LOTKA,http://search.proquest.com/openview/7e84cabc022f4a7c4595389203e64e08/1?pq-origsite=gscholar,0,0,0,0,Jun-16,1
Lag71Eki,Lagopoulos A. P.,1971,,Ekistics,3,0,1,LOTKA,,0,0,0,0,,0
Las67Eki,Lasuen J. R. et al.,1967,,Ekistics,7,0,1,LOTKA,,0,0,0,0,,0
LeG08Emp,LeGallo J. & Chasco C.,2008,65,Empirical Economics,22,1,0,PARETO,http://link.springer.com/article/10.1007/s00181-007-0150-5,1,1,0,0,Dec-15,1
Lep90Urb,Lepetit B.,1990,191,Urbanization in History,7,1,1,LOTKA,https://books.google.co.uk/books?id=1nrSdi7NdXIC&pg=PA181&lpg=PA181&dq=zipf+lotka+Elements+of+physical+biology&source=bl&ots=06a1jQ9jZm&sig=DK5m4uEassqMuBG5tc9V7_76LdI&hl=fr&sa=X&ved=0CEAQ6AEwA2oVChMIjPvBxOOvxwIVRZrbCh1LNwDq#v=onepage&q=zipf%20lotka%20Elements%20of%20physical%20biology&f=false,0,0,0,0,Dec-15,1
Lot25Ele,Lotka A. J.,1925,307,Elements of physical biology,1,1,1,LOTKA,https://archive.org/stream/elementsofphysic017171mbp#page/n5/mode/2up,0,0,0,0,Dec-15,1
Luc14Eco,Luckstead J. & Devadoss S.,2014,292,Economics Letters,14,1,0,PARETO,http://www.sciencedirect.com/science/article/pii/S0165176514002134,1,0,0,0,Dec-15,1
Mal80Env,Malecki E. J.,1980,48,Environment and Planning A,44,1,1,LOTKA,http://www.environment-and-planning.com/epa/fulltext/a12/a120041.pdf,0,1,1,0,Dec-15,1
Mil86Stu,Mills E.S. et al.,1986,52,Studies in Indian urban development,8,1,1,PARETO,https://books.google.fr/books?hl=fr&lr=&id=btVZV3qvwFwC&oi=fnd&pg=PP227&dq=mills+becker+studies+in+indian+urban+development&ots=2swEsHg7Rq&sig=MCdDah8GeDc_XmfMeDWOM2tf1A0#v=onepage&q=mills%20becker%20studies%20in%20indian%20urban%20development&f=false,0,0,0,0,Dec-15,1
Mir86Urb,Mirucki J.,1986,153,Urban Studies,12,1,0,LOTKA,http://usj.sagepub.com/content/23/2/151.full.pdf,0,1,1,0,Dec-15,1
Mod15Qua,Modica M. et al.,2015,22,Quaderni - Working Paper DSE ,47,1,0,LOTKA,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2611960,0,0,0,0,Jun-16,1
Moo59Eco,Moore F. T.,1959,466,Economic Development and Cultural Change,6,1,1,LOTKA,http://www.jstor.org/stable/pdf/1151892.pdf,1,1,0,0,Dec-15,1
Mor13Tex,Moro S. & Santos R.,2013,18,Textos para Discussion Cedeplar-UFMG,20,1,0,PARETO,http://econpapers.repec.org/paper/cdptexdis/td474.htm,0,0,0,0,Jun-16,1
Mor13Tow,Morudu H. & du Plessis D.,2013,27,Town and Regional Planning,2,1,0,LOTKA,http://www.ajol.info/index.php/trp/article/view/116203,0,0,0,0,Jun-16,1
Mor93LUr,Moriconi-Ebrard F.,1993,337,L'Urbanisation du Monde,255,1,0,LOTKA,,0,0,0,0,Dec-15,1
Nau03Jou,Naude W.A. & Krugell W.F.,2003,483,Journal of African Economies,1,1,0,LOTKA,http://jae.oxfordjournals.org/content/12/4/476.full.pdf,1,1,0,0,Dec-15,1
Nis08Jou,Nishiyama Y. et al.,2008,694,Journal of Regional Science,26,1,0,LOTKA,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-9787.2008.00582.x/full,0,1,1,0,Jun-16,1
Oka79Reg,Okabe A.,1979,22,Regional Science and Urban Economics,1,1,0,LOTKA,http://www.sciencedirect.com/science/article/pii/016604627990019X,1,1,0,0,May-16,1
Par83Jou,Parr J. B. & Jones,1983,294,Journal of Regional Science,24,1,0,LOTKA,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-9787.1983.tb00991.x/epdf,0,1,1,0,May-16,1
Par85Jou,Parr J. B.,1985,203,Journal of Urban Economics,61,1,1,PARETO,http://ac.els-cdn.com/0094119085900178/1-s2.0-0094119085900178-main.pdf?_tid=29c57c6e-44e1-11e5-9835-00000aab0f26&acdnat=1439817136_d5ed8bd3d95ee0cfa2dd2aa7a1549e62,1,1,0,0,Dec-15,1
Pau04Dis,Paulus P.,2004,117,Dissertation,26,1,0,LOTKA,http://shiny.parisgeo.cnrs.fr/gibrat/,0,0,0,0,Dec-15,1
Pen10Phy,Peng G.,2010,3807,Physica A: Statistical Mechanics and its Applications,36,1,0,PARETO,http://www.sciencedirect.com/science/article/pii/S037843711000381X,0,0,1,0,Jun-16,1
Pop74Sov,Popov V. R.,1974,20,Soviet Geography,9,1,0,LOTKA,http://www.tandfonline.com/doi/abs/10.1080/00385417.1974.10770642,0,0,0,0,Jun-16,1
Pum15Cyb,Pumain D. et al.,2015,10,Cybergeo,7,1,0,LOTKA,http://cybergeo.revues.org/26730,0,1,0,0,Dec-15,1
Ros80Jou,Rosen K. T. & Resnick M.,1980,167,Journal of Urban Economics,56,1,1,PARETO,http://ac.els-cdn.com/0094119080900431/1-s2.0-0094119080900431-main.pdf?_tid=52cef5e0-4725-11e5-aef3-00000aab0f6c&acdnat=1440066313_7d778291d08a5a14d72ca4e779c856a6,1,1,0,0,Dec-15,1
Roz11Ame,Rozenfeld al.,2011,2210,American Economic Review ,2,1,0,PARETO,https://www.aeaweb.org/articles.php?doi=10.1257/aer.101.5.2205,1,0,0,0,Dec-15,1
Sch12Reg,Schaffar A. & Dimou M.,2012,716,Regional Studies,24,1,0,PARETO,http://www.tandfonline.com/doi/pdf/10.1080/00343404.2010.521146,0,1,1,0,Dec-15,1
Sch16Rev,Schaffar A. & Nassori D.,2016,8,Revue Economique,4,1,0,PARETO,http://www.cairn.info/resume.php?ID_ARTICLE=RECO_PR2_0064,1,0,0,0,Dec-15,1
She12Com,Shepotylo O.,2012,669,Comparative Economic Studies,16,1,0,PARETO,http://www.palgrave-journals.com/ces/journal/v54/n3/pdf/ces201221a.pdf,1,0,0,0,Dec-15,1
Sin36The,Singer H. W.,1936,255,The Economic Journal,22,1,1,PARETO,http://www.jstor.org/stable/2225228?seq=1#page_scan_tab_contents,1,0,0,0,Dec-15,1
Son02Urb,Song S. & Zhang K. H.,2002,2323,Urban Studies,9,1,1,PARETO,http://usj.sagepub.com/content/39/12/2317.full.pdf,0,1,1,0,Dec-15,1
Soo05Reg,Soo K. T.,2005,246,Regional Science and Urban Economics,198,1,0,PARETO,http://ac.els-cdn.com/S016604620400033X/1-s2.0-S016604620400033X-main.pdf?_tid=927ffa8e-4592-11e5-b34d-00000aacb362&acdnat=1439893333_8eae4185d31064ea8f1514a648eb982d,1,1,0,0,Dec-15,1
Soo07Urb,Soo K. T.,2007,5,Urban Studies,5,1,0,PARETO,http://usj.sagepub.com/content/44/1/1.full.pdf,0,1,1,0,Dec-15,1
Sua80Jou,Suarez-villa L.,1980,93,Journal of Regional Science,1,1,1,LOTKA,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-9787.1980.tb00628.x/epdf,0,1,1,0,Dec-15,1
Sub11Int,Subbarayan A. et al.,2011,541,International Journal of Agricultural and Statistical Science,6,1,0,LOTKA,https://www.researchgate.net/profile/Drvchristopher_Amalraj_Vallabadoss/publication/267042507_ch_2/links/5444a4b00cf2a6a049ab15e3.pdf,0,0,1,0,Jun-16,1
Swe13Dis,Swert E.,2013,,Dissertation,10,1,0,LOTKA,http://shiny.parisgeo.cnrs.fr/gibrat/,0,0,0,0,Dec-15,1
Vac05Dis,Vacchiani-Marcuzzo C.,2005,,Dissertation,6,1,0,LOTKA,http://shiny.parisgeo.cnrs.fr/gibrat/,0,0,0,0,Dec-15,1
Ven13Oec,Veneri P.,2013,8,Oecd Publishing,18,1,0,PARETO,https://ideas.repec.org/p/oec/govaab/2013-27-en.html,1,1,1,0,Dec-15,1
War62Pap,Ward B.,1962,210,Papers of the Regional Science Association,2,1,1,LOTKA,http://onlinelibrary.wiley.com/doi/10.1111/j.1435-5597.1962.tb00880.x/epdf,0,0,0,0,Dec-15,1
XuZ09Urb,Xu Z. & Zhu N.,2009,2170,Urban Studies,45,1,0,PARETO,http://usj.sagepub.com/content/46/10/2159.full.pdf,0,1,1,0,Dec-15,1
You03Kru,Your E. S.,2003,79,Krupnye goroda y vyzovy urbanizaciya,6,1,0,LOTKA,,0,0,0,0,Dec-15,1
Ziq16Asi,Ziqin W.,2016,55,Asian Journal of Social Science Studies ,30,1,0,PARETO,http://journal.julypress.com/index.php/ajsss/article/view/21/19,0,0,0,0,Jun-16,1
Cie16Mis,Cieslik A. & Teresnski J.,2016,8,Miscellanea Geographica,6,1,0,LOTKA,https://www.degruyter.com/view/j/mgrsd.2016.20.issue-4/mgrsd-2016-0020/mgrsd-2016-0020.xml,1,1,0,0,Feb-17,0
Nec10GDN,Necula C. & Ibragimov M. & Valetka U. & Bobeica G. & Radu A.-N. & Mukhamedkhanova K. & Radyna A.,2010,37,GDN Working Paper,23,1,0,PARETO,https://www.cerge.cuni.cz/pdf/gdn/irp/IRP-cities-growth-rates-necula-ibragimov-valetka.pdf,1,1,0,0,Feb-17,0
Man16Reg,Manaeva I. & Rastvortseva S.,2016,28,Regional Science Inquiry,8,1,0,PARETO,http://www.rsijournal.eu/ARTICLES/December_2016/2.pdf,1,1,0,0,Feb-17,0
Li_16Wor,Li C. & Gibson J.,2016,10,Working Paper in Economics 09/16 ,4,1,0,PARETO,ftp://wms-webprod1.mngt.waikato.ac.nz/RePEc/wai/econwp/1609.pdf,1,0,0,0,Feb-17,0
