JOURNAL;DISCPLINE
Professional geographer;
Computer Environment Urban Systems;
recensement;
Capitalism Underdevelopment Latin America;
Measuring Hierarchical Organization Urban;
Humanae;
Plans Pragmatism People;
Urban Affairs Quarterly;
International Journal Urban Regional;
New International Division Labor;
American Sociological Review;
Urban Economic Theory;
Symposium Dynamic Firm;
Spatial Economy;
Why Great cities port;
Journal Japanese International Economies;
Economies Agglomeration;
Dictadura Democracia;
Annual Review Economics;
Handbook Urban Regional Economics;
Russia Virtual Economy;
Center International Development;
Journal Population Economics;
Econophysics Systemic Risk Networks;
Frontiers Economics China;
Journal Economic Behaviour Organization;
Edge Cities;
Cities Evolution;
Quark Jaguar;
OECD;
Voxeu;
Review Development Economics;
Urban research methods;
Loi Repartition Economique;
Inegalites economiques;
Canadian Geographer;
Sustainability;
Constitution Society;
Labour Market Dynamics;
Evolucao Demografica Ocupacao Solo;
Journal Economic Perspectives;
Journal Economic Litterature;
Regional Studies;
Journal Monetary Economics;
European Pysical Journal B;
Problemy Sovremennoy Urbanizatsii;
MPRA;
Urban community;
Megalopolis;
Chislennost Naseleniya Rossiiskoi Federatsii;
Perepis;
Social Production Urban Space;
Industrial Geography Israel;
Physical Commercial Geography;
Innovation Growth World Economy;
Spatial Analysis Population Dynamics;
Deux Siecles Croissance Urbaine;
Journal Aerosol Science;
Center Neighborhood Technology;
Locational analysis Human Geography;
Journal Royal  Statistical Society;
Time Series Analysis;
Spatial Analysis;
Urban Economics;
Applied Nonparametric Regression;
Introduction Theory Numbers;
Cities Soviet Union;
Brownian Motion Stochastic Flows;
Urban Experience;
Immigration Internal Migration;
Statistical distributions;
Gamma Euler Constant;
Human Ecology;
Dynamique Urbaine Maroc;
Indicateurs Sociaux Maroc;
North Carolina;
Environment Planning B;
Post Soviet Geography Economy;
Demokratizatsiya;
Economic Theory Cities;
Journal urban economics;
Urban Development;
Journal Economic Growth;
Urbanization Growth;
Bulleting Economique Social Maroc;
Annals Statistics;
Siberian Curse;
Aerosol Technology;
Tinbergen Institute;
Strategy Economic Development;
Statistical Abstract Israel;
Introduction Mathematical Statistics;
Making Urban Europe;
Oxford History Medieval Europe;
Minnesota;
Eurasian Geography Economics;
Economic Research Journal;
Economic Cultural Change;
Process World Systems;
Migration Crisis Conflicts Balkans;
Central place Theory;
Journal Population Research NZ;
Economie Prevision;
Palgrave Online Dictionary;
Journal Political Economics;
Skew distributions;
Journal Applied Statistics;
Globalization Threats Opportunity;
;
Urbanisation France;
Location Space Economy;
Scientometrics;
Economy Cities;
Cities Wealth Nations;
European Cities Competition;
Geomatics;
International Journal GIS;
Geography;
Multivariate Statistical Analysis Geography;
Economic Geography;
Economics Letters;
Continuous Univariate Distribution;
Theoy Practice Econometry;
INSEE;
Journal Economic Development;
Theories Urban Externalities;
Skew Frequency Curve;
Brownian Motion Stochastic Calculus;
SanDiego;
East European Constitutional Review;
Journal Japan International Economics;
Journal Physical Society Japan;
Journal Real Estate Finance;
Finite Markov Chains;
Acta Mathematica;
Southern Economic Journal;
Geography Immigration Absorption;
Dynamics Urban Development;
Elements Econometrics;
Developing Economies;
Harvard;
Problems Economics;
Zeitschrift Wahrscheinlichkeitstheorie;
Journal Economic History;
Communications Statistics Stochastic Models;
Geography Trade;
Development Geography Trade;
Self Organizing Economy;
Economy Evolving Complex Systems;
Infrastructure Space Economy;
Pattern Urbanisation Western Europe;
Computers Physics;
Revista Economia Aplicada;
Complexity Perspective Innovation;
Mir Rossii;
Macroeconomia economia Global;
Statistical models lifetime data;
European Cities;
Economie Statistiques;
Metropolitee;
Journal Economic Theory;
International Journal Modern Physics;
Gorbachev Phenomenon;
Estimating Regression Models;
Gross Berlin;
Population Development Review;
Glottometrics;
China Economic Review;
Asian Development Review;
Waikato;
Geojournal;
Theoretical Biology;
Journal Urban Planning Development;
Cities;
Essay trade Transformation;
Measuring America;
Professional Geographer;
China Labour Market;
Landscape Urban Planning;
Funcoes Economicas Peauenos Centros;
Desenvolvimento Regional;
Journal Empirical Finance;
Economics location;
Elements Physical Biology;
Gibrat Law Cities;
Metrika;
International Economic Review;
Fractals Scaling Finance;
Gazi Univertiesi;
Principles Economics;
Canadian geographer;
The Diplomat;
Revista Brasileira Estudos Populacionais;
Revista Sao Paulo Perspectiva;
Historia Populacao;
International Institute Environment Development;
Encontro Nacional Estudos Populacionais;
evista Economia Politica;
Capital;
Revista Departamento Geografia;
Urban Regional Economics;
Econometrics;
Metropolitan Community;
Preparing China Urban Billion;
The Independent;
American Journal Economic Society;
Kolichestvennyye Metody Issledovariya;
Demography;
Spatial Evolution Modeling;
Transport Reviews;
Studies Comparative International Development;
International Review Modern Sociology;
mimeo;
Journal Asia Pacific Economy;
Indian city size;
Study Indian urban development;
Internet Mathematics;
Atlas Estadistico Areas Urbanas;
ERSA Conference;
Centre Environmental Studies Conference;
Greater London Transportation Study;
Revue Geographie Alpine;
Coloquio Desarrollo Urbano;
Economic Development Cultural change;
Tecnicas Econometricas;
Urbanisation Monde;
Geopolis;
Babylone Tokyo;
Population Statistics;
Cities Housing;
Economic Theory;
Theory Probability Applications;
Ocherki Istorii Kryma;
Journal International Development;
CEFSA;
FIPS;
SA Journal Economic Management Science;
Development Issues;
Klerksdorp;
Conference;
Region New Economy;
Growth Change;
IRP;
China Statistical Yearbook;
Urban Statistical Yearbook;
China Labour Statistical Yearbook;
Local economic Devlopment;
SSRN;
Contemporary Physics;
Journal American Statistical Society;
statistics;
Interfaces Advances Economic analysis;
Gecon;
UNR;
UN Population Projections;
Xin Zhong Guo;
Redefining Urban;
ENCE;
ANPEC;
Rise Decline Nations;
Urbanization environment;
Operational Theory Method;
Nonparametric Econometrics;
Cours Economie Politique;
Times Spaces Places;
Journal regional science;
Escola Nacional Ciencias Estatisticas;
Transaction Networking;
Philosophical Magazine;
Economie Sociale;
Statistical Science;
Journal Business Economic Statistics;
Journal Applied Econometrics;
Development Balkan Region;
Limit Theorems Probability Theory;
Public Economics;
Journal Statistical Software;
Mobile Century;
Competitive Advantage Nations;
Voprosy Geografii;
Studies Economics Integration;
Accelerated Shared Growth;
Nouvelle Alliance;
Dynamique Villes;
Encyclopedie Geographie;
GeoJournal;
ECTGG;
IGU;
Geografiska Annaler B;
Integrated Urban Systems;
SFI;
ABM Geographical Systems;
Evolution Natural Structures;
Eurban Networks Europe;
thesis;
Quantec;
Fat Tailed Skewed Dsitributions;
Linear Statistical Inference;
Russia Northern Regions;
Hebrew;
Encyclopedia Statistical Science;
Almanac;
CEP;
Economics Culture Controversial Science;
European Physical Journal B;
Studies Geography Israel;
Approximate Distribution Order Statistics;
Turtles Termites Traffic Jams;
Law Retail Gravitation;
Economics urban size;
Urban Growth;
Impactos TLCAUSA;
Journal political Economy;
Journal Money Credit Banking;
Revista Centroamerica Economia Mundial;
Urban Structure Growth;
Stages Economic Growth;
World Economy;
Post Soviet Geography Economics;
East Asian Urbanization;
Estudios Economicos;
Journal African economies;
Cidade Portugal;
Urbanizacao Brasileira;
Global City;
Vestnik Moskva;
Revue Europeenne Geographie;
Business Cycle;
Deterministic Chaos;
Atmospheric Chemistry Physics;
CASA;
Economic Times;
Journal American Institute Planners;
Journal Urban Economic;
International regional science review;
Management Science Models Techniques;
Power Law Distributions;
Density Estimation Statistics;
biometrika;
Models Man;
Sciences Artificial;
Scandinavian Journal Economics;
Models Bounded Rationality;
Logic methodology philosophy;
American Economic review;
Department Economics;
courbe populations;
City Late Imperial China;
American mathematical society;
Wealth Nations;
Comparative Urban Research;
Types City Size Distributions;
Government Control Cultural Adaptation;
Quarterly Journal economics;
EAI;
World Economy China;
Journal Urban Affairs;
Journal Physique;
anuario estadistico;
Statistisches Jahrbuch;
New Suburbanisation;
Econometrics Letters;
Years Urban Development;
Chianese Urban Statistical Yearbook;
Random process growth firms;
encyclopedia social science;
Sociometry;
Local Heroes;
Keys City;
Regional development dialogue;
International Journal Agriculatural Science;
Dispersing population;
Technology Market Structure;
statistik arsbok;
Fractals;
European Journal Operational Research;
Economics Bulletin;
Journal Urban Econometrics;
Centre Etudes Developpement;
Preface Urban Economics;
Science Industry China;
Theory Industrial Organization;
Maroc Region Pays;
Historia;
Statistical Yearbook;
Demographic yearbook;
Demographic Yearbook;
World population prospects;
World Urbanization prospects;
Population Estimates Cities;
FIPS Populations;
MSA Micropolitan;
narodnoye hosiaistvo SSSR;
GeoTextos;
General Population Conference;
Urbanization History;
Micrations Crisis Conflicts Blakans;
Probability Mathematical Statistics;
Geographical analysis;
Journal political economics;
Isolated State;
Urban Frontier;
Mordern World System;
Capitalist World Economy;
City Comparative Perspective;
ILO Labour Migration;
Institute British Geographers;
Sankhya Series A;
Development Population industrial firms;
Operations Research;
Handbook Development Economics;
Entropy Urban Regional Modelling;
Probability;
Geografiska Annaler;
Introductory Econometrics;
World Development Report;
World Development Indicators;
Manifest city;
World Resources;
Urbanisation Croissance Villes Chine;
Comparative Economic Studies;
Journal Geography China;
Reviews Modern Physics;
ICGIS conference;
China population resources Environment;
Spatial Inequality Development;
Population Economics China;
Cartography GIS;
Philosophical Transactions B;
Travel time Budgets;
Advances Complex Systems;
Arcts ERSA;
Oxford Economic papers;
New Paths Urbanization;
Physchobiology Language;
Unity disunity;
Human Behavior Principle Least Effort;
NA;
